office,owner,owner,owner,owner,owner,owner,owner,owner
1,E8 E,E111 E,E231 A,E101 E,?,,,
2,E11 A,E37 E,E38 E,FIN,,,,
3,E12 E,E73 A,?,,,,,
4,E14 A,E152 E,E151 E,?,,,,
5,E21 E,E236 E,E44 E,FIN,,,,
6,E35 A,E179 E,E188 0,E229 A,E265 E,FIN,,
7,E48 E/A,E20 A,E98 E,E60 E,E90 A,FIN,,
8,E59 A,E145 A,E230 A,E187 A,FIN,,,
9,E86 A,E219 E,E163 E,FIN,,,,
10,E87 E,E112 E,E6 E,E110 E,E49 E,FIN,,
11,E94 E,E183 E,E184 E,E155 E,FIN,,,
12,E99 A,E125 E,E222 E,E80 0,E13 A,E92 E,E215 E,FIN
13,E116 E,E53 0,E51 E,E67 A,?,,,
14,E115 E,E69 E,E257 A,E227 A,E2 A,FIN,,
15,E124 A,?,,,,,,
16,E132 E,?,,,,,,
17,E135 E,E100 E,E117 E,E106 E,FIN,,,
18,E139 E,?,,,,,,
19,E140 E,E118 A,E250 A,E217 A,FIN,,,
20,E146 E,E147 E,E143 E,E144 0,E169 E,FIN,,
21,E153 E,E97 E,E81 A,E238 A,FIN,,,
22,E154 A,E142 0,E134 A,E130 0,E75 0,E70 A,E245 E,FIN
23,E157 A,E113 A,E259 E,E127 E,FIN,,,
24,E161 A,E19 E,E182 0,E40 E,E228 A,FIN,,
25,E162 A,?,,,,,,
26,E167 A,E34 A,E261 E,FIN,,,,
27,E168 A,E223 A,E22 A,E199 A,?,,,
28,E170 E,E1 A,E131 A,E216 A,FIN,,,
29,E180 E,E197 E,E74 E,E159 A,E71 E,E5 E,E4 A,FIN
30,E186 A,E18 A,E65 A,,FIN,,,
31,E190 A,E233 A,E45 E,?,,,,
32,E192 E,E193 E,E56 A,E96 A,E95 A,FIN,,
33,E194 A,E79 E,E114 A,FIN,,,,
34,E195 E,E158 A,E107 0,?,,,,
35,E196 A,E 264 A,E165 A,?,,,,
36,E77 A,E78 A,E43 A,?,,,,
37,E198 A,E27 A,E23 A,E156 E,E122 E,?,,
38,E204 A,E232 A,E119 A,E173 0,E32 E,E64 A,FIN,
39,E211 E,E15 E,?,,,,,
40,E212 0,E166 A,E248 A,E210 E,E7 E,FIN,,
41,E251 0,E213 A,E54 A/E,E203 A,FIN,,,
42,E218 E,E149 E/A,?,,,,,
43,E220 E/A,E123 0,E121 E,E108 E,E102 A,?,,
44,E221 A,E255 A,E191 E/A,E176 A,FIN,,,
45,E225 E,E17 A,E84 A,E85 A,FIN,,,
46,E224 E,E141 E,E262 A,E209 A,E249 E,FIN,,
47,E237 E,E66 A,E260 A,?,,,,
48,E244 E,E29 0,E121 E,E205 E,FIN,,,
49,E263 A,E126 A,E171 A,E50 E,FIN,,,
50,E266 E,E180 E,E246 E,E247 E,FIN,,,
51,E58 E,E174 A,E93 0,E252 A,E256 E,FIN,,
52,E214 E,E181 E,?,,,,,
53,E178 E,?,,,,,,
54,E172 E,E241 0,E41 0,E30 0,E253 A,E62 E,?,
55,E105 E,E243 E,E36 E,E82 E,E16 E,FIN,,
56,E63 E,E10 E,E76 E,E258 E,FIN,,,
57,E138 E,?,,,,,,
58,E133 E,?,,,,,,
59,E52 E,E189 E,?,,,,,
60,E239 E,E9 E,E46 E,E175 0,E42 E,FIN,,
